id,date,year,listing_comment_count,listing_activity,comments_clean
1500197695113639772,2025-08-31,2025,4,Medium,"I had a wonderful stay here! The host was always helpful, accommodating, and very friendly, which made the experience even better. The location is perfect—whether you’re working near DTLA or attending USC, it’s very convenient. The room itself was ideal, with a private bathroom and a private balcony where I spent most evenings enjoying the LA weather. Parking was super easy, which is a huge plus in this area. The kitchen is well set up with plenty of fridge space for personal items, and the laundry room was always available whenever I needed it. Overall, this was a fantastic Airbnb, and I’d definitely stay again!"
1337458292619257115,2025-01-19,2025,4,Medium,"Candy’s and Dantings place is the reason I am now skeptical about booking on this app. I filtered exactly what I was looking for however, the host failed to share it’s not private, not an entire house and the correct address where you’d be staying.<br/>You will be on a property with a house however you will stay in a back house with 2 units above you. The walls are paper thin and 9/10 your parking spot will be taken or you won’t be able to even to pull in or out because someone will be blocking the entrance. <br/> Candy or Danting will not be open to refunding you or giving you any sort of credit by any means. <br/>If you make a complaint that it is too loud and too many guest Candy will tell the guest you are complaining. Which during my stay led to those guest to threaten me. <br/>This is not a private property and you will see parties running in front of your door and or hear the parties above your head or in the front house. <br/>Not safe for family or children."
1526278112185814561,2025-10-06,2025,4,Medium,靠近LAX机场，入住时间灵活，是个很不错的中转站哦
1482835255485019963,2025-08-07,2025,7,Medium,"Our stay was lovely! The location was perfect, fairly close to a lot of popular LA spots. The hosts were very responsive and helpful. Thank you for having us!"
1373397836619638494,2025-03-09,2025,5,Medium,Selena was an amazing host <3 I felt right at home and very safe especially traveling alone! This is the perfect spot! Right near highways and lots of cute restaurants near by!! She is super response and super helpful whenever a problem may arise. Hope to be back soon!
1515470965846085166,2025-09-21,2025,4,Medium,Great luxury place for a large group. Very spacious and private. Highly recommend!
1437157519935715958,2025-06-05,2025,15,High,"El lugar tiene muy buena ubicación ya que estaba muy cerca de los lugares turísticos. Además de que nos sentimos muy cómodos ya que Elana siempre estuvo al pendiente de cualquier situación que se presentó. En general todo estuvo muy bien, la cama en específico era muy cómoda. <br/>Lo único a considerar es que el estacionamiento fue utilizado por los otros huéspedes durante nuestra estancia y nos impidió estacionarnos algunos días dentro de las instalaciones. Fuera de eso todo estuvo muy bien."
1396542495646750874,2025-04-10,2025,23,High,"Our stay was wonderful! The house was clean, modern, and the perfect size for our group of 13. It had everything we needed—from towels to toiletries—which made things super convenient. The location was also great, just a short drive to both the airport and Downtown LA. The only minor issue we ran into was getting in and out of the garage with two vans, but it wasn’t a major problem. Overall, we had a fantastic experience and would definitely stay here again!"
1462526032534168926,2025-07-10,2025,30,High,"This was a great, clean spacious unit with an awesome rooftop lounge"
1380660597738251146,2025-03-19,2025,18,High,Beautiful little place in a perfect location. We enjoyed the patio so much! Lots of space and great food & shops right around the corner. Walk to the beach is easy.
1556789936334533902,2025-11-17,2025,40,High,Flora is amazing and is wonderful to speak with. Super cool conversations and her home is the perfect hideaway from all of the LA things without being a million miles away from the action. 10/10
